First_name,Gender
sarsworokaya,f
loonibha,f
binod,m
aakripandey,f
chirag,m
dhurba,m
bishist,m
maitreya,m
jyokumari,f
suprabha,m
aakrichaudhary,f
jems,m
kishor,m
md.,m
ujef,m
aarus,m
bisheyshwor,m
luva,f
chris,m
lepmuhang,m
prabha,f
sworoop,m
murari,f
prashun,m
swikripandey,f
bhuwaneshwori,f
arsu,f
ijjya,f
unnashakya,f
benup,m
swosk,m
angel,m
kritripathi,f
sureesubba,f
priyans,m
bidur,m
ronen,m
dirghayu,m
shrispokhrel,f
shova,f
tarun,m
suprabh,m
jyoshah,f
nishes,m
anagha,f
sadiccha,f
romis,m
umang,m
roshis,m
bibhut,m
swask,m
aswo,m
yansu,m
slok,m
sayuk,m
aashirbad,m
durga,f
sulabh,m
prithvi,m
mohammad,m
kripun,m
nanya,m
mahi,f
shreyup,m
lok,m
ruben,m
jayed,m
adipoudel,f
akshobh,m
dipshikha,m
mahadev,m
ellis,f
sheshadri,f
guru,m
sher,m
sangmo,m
dilkaji,m
dipeen,m
kabir,m
bidyanand,m
nabind,m
research,m
avi,m
bindu,f
madhu,f
avignya,m
aashirwad,m
bibekanand,m
micky,m
nikki,f
aakrighimire,f
jenif,m
arjen,m
diken,m
samragyi,f
ramdev,m
spriha,f
subol,m
nancy,f
bishnudev,m
ramanand,m
reshod,m
apoorva,m
debid,m
lucky,m
dippoudel,f
aseem,m
sahadev,m
reeva,f
sesehang,m
shilu,f
pranaw,m
arbind,m
bickey,m
everest,m
guddu,m
aakrikarki,f
dinup,m
sichu,m
saurabh,m
sadikchya,f
swikrikafle,f
subhechha,f
bishakha,f
dhanishor,m
pradipkandel,f
abhips,m
surabhi,f
prappaudel,f
anushrut,m
shrughising,f
ananga,m
emmanuel,m
surasa,f
saloni,f
yutsna,f
raunika,f
anurat,m
nistha,f
ranjita,f
prekshya,f
rama,f
prasam,m
yudhin,m
sharwan,m
tupendra,m
kriyashan,m
darshana,f
abastha,f
anvil,m
suprina,f
aashray,m
saira,f
arshia,f
pragyee,f
chahana,f
adarsh,m
pranab,m
ishu,m
sailesh,m
dalton,m
rojeet,m
sanat,m
dibisha,f
angela,f
manjesh,m
pradyumna,f
kabil,m
nixan,m
ismriti,f
bivab,m
smith,m
shikshit,m
firoj,m
prawal,m
namit,m
sara,f
bhargab,m
samriddha,f
ruyoj,m
anu,f
suryoda,f
ozaswi,f
nishanta,f
sudha,f
meelisa,f
sanju,f
nasharina,f
baidik,m
krilsha,f
sudiska,f
sugat,m
priyan,m
dikita,f
swodhin,m
suwarnareta,f
nija,f
prakhar,m
deepan,m
rirendra,m
abhyasa,f
prehisha,f
prayas,m
aayasha,f
prasiddhi,f
batsal,m
aadim,m
onaj,m
rishika,f
rupak,m
raushan,m
prepshuna,f
soham,m
bhisma,f
swayash,m
aayam,m
sohan,m
shleshma,f
abhigya,m
nebil,m
prabjan,m
aashriya,f
rasika,f
denil,m
abhishak,m
tadillata,f
sanchit,m
subharatna,f
nidhisha,f
rasik,m
sajal,m
srishti,f
esha,f
prapti,f
sushmita,f
shudarshan,m
prajit,m
shaswat,m
rizon,m
somnath,m
aabhushan,m
saharsha,f
nisman,m
remon,m
siliya,f
abhushan,m
